calldate,src,dst,duration,billsec,disposition
04/09/17 12:39,114,113,8,6,ANSWERED
04/09/17 12:38,114,110,9,8,ANSWERED
04/09/17 12:38,114,109,8,6,ANSWERED
04/09/17 12:38,114,108,10,8,ANSWERED
04/09/17 12:38,114,107,10,8,ANSWERED
04/09/17 12:38,114,106,5,5,ANSWERED
04/09/17 12:38,114,0,5,0,ANSWERED
04/09/17 12:38,114,105,5,5,ANSWERED
04/09/17 12:37,113,114,8,7,ANSWERED
04/09/17 12:37,113,112,27,25,ANSWERED
04/09/17 12:37,113,111,19,16,ANSWERED
04/09/17 12:37,113,110,11,9,ANSWERED
04/09/17 12:37,113,109,18,16,ANSWERED
04/09/17 12:37,113,108,9,8,ANSWERED
04/09/17 12:36,113,107,18,16,ANSWERED
04/09/17 12:36,113,106,23,23,ANSWERED
04/09/17 12:36,113,0,23,0,ANSWERED
04/09/17 12:36,113,105,23,7,ANSWERED
04/09/17 12:35,112,114,8,6,ANSWERED
04/09/17 12:35,112,113,9,8,ANSWERED
04/09/17 12:35,112,111,9,8,ANSWERED
04/09/17 12:35,112,110,15,12,ANSWERED
04/09/17 12:34,112,109,8,7,ANSWERED
04/09/17 12:34,112,108,7,5,ANSWERED
04/09/17 12:34,112,107,11,10,ANSWERED
04/09/17 12:34,112,106,4,4,ANSWERED
04/09/17 12:34,112,0,4,0,ANSWERED
04/09/17 12:34,112,105,4,5,ANSWERED
04/09/17 12:34,111,114,6,4,ANSWERED
04/09/17 12:34,111,113,9,7,ANSWERED
04/09/17 12:33,111,112,9,7,ANSWERED
04/09/17 12:33,111,110,9,7,ANSWERED
04/09/17 12:33,111,109,6,5,ANSWERED
04/09/17 12:33,111,108,11,4,ANSWERED
04/09/17 12:33,111,107,12,10,ANSWERED
04/09/17 12:32,111,106,5,5,ANSWERED
04/09/17 12:32,111,0,5,0,ANSWERED
04/09/17 12:32,111,105,5,10,ANSWERED
04/09/17 12:32,110,114,7,3,ANSWERED
04/09/17 12:32,110,113,9,8,ANSWERED
04/09/17 12:32,110,112,5,4,ANSWERED
04/09/17 12:32,110,111,12,10,ANSWERED
04/09/17 12:31,110,109,11,9,ANSWERED
04/09/17 12:31,110,108,8,5,ANSWERED
04/09/17 12:31,110,107,7,5,ANSWERED
04/09/17 12:31,110,106,18,18,ANSWERED
04/09/17 12:31,110,0,18,0,ANSWERED
04/09/17 12:31,110,105,18,5,ANSWERED
04/09/17 12:30,110,0,18,0,ANSWERED
04/09/17 12:30,110,105,18,6,ANSWERED
04/09/17 12:29,109,114,7,4,ANSWERED
04/09/17 12:29,109,113,20,18,ANSWERED
04/09/17 12:29,109,111,19,17,ANSWERED
04/09/17 12:29,109,110,7,6,ANSWERED
04/09/17 12:29,109,108,10,7,ANSWERED
04/09/17 12:28,109,107,8,0,NO ANSWER
04/09/17 12:28,109,106,16,16,ANSWERED
04/09/17 12:28,109,0,16,16,ANSWERED
04/09/17 12:28,109,105,16,16,ANSWERED
04/09/17 12:28,108,114,8,6,ANSWERED
04/09/17 12:28,108,113,5,3,ANSWERED
04/09/17 12:28,108,112,4,3,ANSWERED
04/09/17 12:28,108,111,6,5,ANSWERED
04/09/17 12:27,108,109,7,6,ANSWERED
04/09/17 12:27,108,107,8,5,ANSWERED
04/09/17 12:27,108,106,5,5,ANSWERED
04/09/17 12:27,108,0,5,5,ANSWERED
04/09/17 12:27,108,105,5,5,ANSWERED
04/09/17 12:26,107,114,13,4,ANSWERED
04/09/17 12:26,107,113,13,9,ANSWERED
04/09/17 12:26,107,112,9,7,ANSWERED
04/09/17 12:26,107,111,14,11,ANSWERED
04/09/17 12:25,107,110,14,11,ANSWERED
04/09/17 12:25,107,109,18,11,ANSWERED
04/09/17 12:24,107,108,38,32,ANSWERED
04/09/17 12:24,107,106,3,3,ANSWERED
04/09/17 12:24,107,0,3,3,ANSWERED
04/09/17 12:24,107,105,3,3,ANSWERED
04/09/17 12:17,106,114,7,7,ANSWERED
04/09/17 12:17,106,113,6,6,ANSWERED
04/09/17 12:17,106,112,5,5,ANSWERED
04/09/17 12:17,106,111,5,5,ANSWERED
04/09/17 12:17,106,110,4,4,ANSWERED
04/09/17 12:16,106,109,5,5,ANSWERED
04/09/17 12:16,106,108,10,10,ANSWERED
04/09/17 12:16,106,107,5,5,ANSWERED
04/09/17 12:16,106,0,5,5,ANSWERED
04/09/17 12:16,106,105,5,5,ANSWERED
04/09/17 12:15,106,107,5,5,ANSWERED
04/09/17 12:15,106,0,5,5,ANSWERED
04/09/17 12:15,106,105,5,5,ANSWERED
04/09/17 12:12,105,114,7,7,ANSWERED
04/09/17 12:12,105,113,5,5,ANSWERED
04/09/17 12:12,105,112,5,5,ANSWERED
04/09/17 12:12,105,111,4,4,ANSWERED
04/09/17 12:12,105,110,6,6,ANSWERED
04/09/17 12:12,105,109,5,5,ANSWERED
04/09/17 12:12,105,108,7,7,ANSWERED
04/09/17 12:12,105,107,5,5,ANSWERED
04/09/17 12:08,105,106,6,6,ANSWERED
